iter	RMSE
0	4737.47678
1	4542.934292
2	4374.990928
3	4195.428467
4	4049.604867
5	3917.369742
6	3789.087985
7	3641.332564
8	3506.90767
9	3387.923243
10	3266.343318
11	3165.314706
12	3061.716021
13	2946.957388
14	2846.802821
15	2741.988664
16	2640.597088
17	2542.487091
18	2455.611875
19	2382.417827
20	2293.73004
21	2219.842917
22	2139.108801
23	2066.169783
24	1990.820213
25	1922.841181
26	1859.006718
27	1795.348936
28	1739.657359
29	1681.063236
30	1624.571977
31	1578.712619
32	1536.568054
33	1489.504765
34	1443.453589
35	1399.59548
36	1355.196893
37	1313.476423
38	1274.231585
39	1235.775662
40	1200.49831
41	1161.091538
42	1130.688989
43	1098.79737
44	1065.85302
45	1037.621073
46	1008.896541
47	982.3719198
48	960.4472811
49	933.3623206
50	909.7682643
51	889.0147081
52	864.102745
53	842.6893593
54	820.4534719
55	799.2552307
56	780.6418773
57	761.7078549
58	742.2331022
59	725.5836817
60	709.4018898
61	695.3601741
62	682.6282509
63	668.1299433
64	654.3126685
65	639.6446007
66	625.2981645
67	613.5632662
68	602.5171742
69	590.7383805
70	578.4180554
71	567.8158201
72	558.1612818
73	548.1180788
74	538.6045808
75	529.0406078
76	520.8810996
77	512.9374385
78	506.6764788
79	499.9251692
80	490.314468
81	481.9234439
82	474.7834478
83	468.2755144
84	460.6994523
85	453.9531232
86	447.1827695
87	440.2404252
88	435.180406
89	430.0065663
90	424.0089387
91	419.4415621
92	412.8751318
93	407.6938216
94	403.7335088
95	398.9982356
96	394.1204315
97	390.0593186
98	385.9085094
99	381.6646846
100	377.8090569
101	374.6821883
102	370.7748008
103	367.1110965
104	363.619374
105	360.2457917
106	356.8364868
107	352.7757094
108	349.7970374
109	345.6674404
110	342.5459308
111	339.4433357
112	336.4263139
113	333.5486656
114	330.9809597
115	328.2760311
116	324.928788
117	322.4571408
118	320.2034451
119	317.846572
120	314.6833735
121	312.4037069
122	309.5888258
123	307.9137883
124	304.7676478
125	302.7284302
126	300.1893708
127	298.2373463
128	296.5571646
129	294.8506407
130	292.9938092
131	291.0261808
132	289.0248927
133	286.5021559
134	285.3253769
135	284.6197171
136	282.5898079
137	281.4674827
138	279.850059
139	277.6548444
140	276.3095747
141	275.0287183
142	274.221116
143	272.5276506
144	271.6249408
145	268.6713333
146	268.0660117
147	266.8346846
148	266.1060353
149	265.3088676
150	264.2695731
151	263.4821664
152	262.0751237
153	260.2946688
154	259.0254206
155	256.5398128
156	255.7744408
157	254.3162293
158	253.7671301
159	252.2032391
160	251.0289114
161	250.3593594
162	249.8377185
163	247.6742758
164	245.9836739
165	245.3909004
166	244.8370008
167	244.2261757
168	242.7250537
169	241.4199349
170	239.9058466
171	239.5198273
172	239.2277671
173	238.4710747
174	237.7842377
175	236.4370046
176	236.0949273
177	235.7876031
178	234.593835
179	233.0638025
180	232.6402296
181	231.4844922
182	230.6549013
183	230.1712731
184	229.8988222
185	229.5890849
186	229.2188771
187	228.8769014
188	228.2214956
189	226.9031096
190	226.6120914
191	226.293738
192	225.9793619
193	225.7659759
194	224.1512244
195	222.5140424
196	222.1674217
197	221.1393299
198	220.8322469
199	220.578647
200	220.2236002
201	219.57984
202	219.3535682
203	219.0984277
204	217.9384952
205	216.4128183
206	216.2359027
207	215.0083486
208	214.7862096
209	213.7181989
210	212.4267402
211	212.0010969
212	211.7799526
213	211.3260677
214	211.0195188
215	209.7796107
216	209.5693745
217	209.1683929
218	208.1792184
219	206.4870082
220	205.2411387
221	204.357984
222	204.0691117
223	203.851523
224	203.4417745
225	202.4741063
226	202.3270021
227	200.8003949
228	200.1570282
229	199.7858267
230	199.6039623
231	199.4730468
232	199.1392271
233	198.4938816
234	198.3049135
235	197.4903648
236	196.9964218
237	196.1555425
238	195.3645922
239	195.080162
240	194.8251353
241	193.7224204
242	192.4399903
243	192.1832179
244	191.4141938
245	190.2740117
246	189.8689513
247	189.3402959
248	187.9007279
249	187.5589751
250	187.3834151
251	186.6636106
252	186.2679804
253	185.9220083
254	185.3734111
255	185.2547311
256	183.9038412
257	182.9153988
258	182.4332941
259	181.6197613
260	181.3576609
261	181.0809592
262	180.8594206
263	179.9989552
264	178.8943934
265	178.5067394
266	178.2991187
267	177.0763707
268	176.8901838
269	176.1482465
270	175.740581
271	175.1183092
272	174.6029823
273	173.5438473
274	172.8985674
275	172.0710395
276	171.3069228
277	171.0802745
278	170.3606631
279	170.1055392
280	168.7846166
281	168.5078802
282	168.0173028
283	167.5585483
284	166.8960834
285	165.947287
286	165.5468046
287	164.9509304
288	164.3175083
289	163.9665414
290	163.5371253
291	163.2771786
292	163.0194612
293	162.3589554
294	161.992032
295	161.4866641
296	161.3696894
297	160.3908077
298	160.0913056
299	159.7650117
