iter	Passed	Remaining
0	2	654
1	2	359
2	2	263
3	2	213
4	3	183
5	3	162
6	3	147
7	3	135
8	3	127
9	4	120
10	4	114
11	4	109
12	4	104
13	4	101
14	5	97
15	9	163
16	9	160
17	10	156
18	10	153
19	10	151
20	11	148
21	11	146
22	11	143
23	12	141
24	12	139
25	13	137
26	13	135
27	13	135
28	14	133
29	14	132
30	15	130
31	15	129
32	15	127
33	16	126
34	16	125
35	16	124
36	17	123
37	17	122
38	18	121
39	18	120
40	18	118
41	18	116
42	19	114
43	19	113
44	19	111
45	19	109
46	20	108
47	20	106
48	20	104
49	20	103
50	20	102
51	22	107
52	23	110
53	23	108
54	24	109
55	25	111
56	26	111
57	27	113
58	27	111
59	27	110
60	27	108
61	28	107
62	28	106
63	28	104
64	28	103
65	30	109
66	31	108
67	32	109
68	32	108
69	32	108
70	33	107
71	33	107
72	34	106
73	34	105
74	35	106
75	35	104
76	35	103
77	36	102
78	36	101
79	36	100
80	37	100
81	37	99
82	37	98
83	37	97
84	38	96
85	38	96
86	38	95
87	39	94
88	39	93
89	39	92
90	39	91
91	40	90
92	40	89
93	40	88
94	40	88
95	41	87
96	41	86
97	41	85
98	41	84
99	41	83
100	42	83
101	42	82
102	42	81
103	42	80
104	43	79
105	43	79
106	43	78
107	43	77
108	43	76
109	44	76
110	44	75
111	44	74
112	44	73
113	44	73
114	45	72
115	45	71
116	45	71
117	45	70
118	45	69
119	46	69
120	46	68
121	46	67
122	46	67
123	46	66
124	46	65
125	47	65
126	47	64
127	47	63
128	47	63
129	47	62
130	48	62
131	48	61
132	48	60
133	48	60
134	48	59
135	49	59
136	49	58
137	49	58
138	49	57
139	49	57
140	50	56
141	50	55
142	50	55
143	50	54
144	50	54
145	50	53
146	51	53
147	51	52
148	51	52
149	51	51
150	52	51
151	52	50
152	52	50
153	52	50
154	52	49
155	53	49
156	53	48
157	53	48
158	54	47
159	54	47
160	54	47
161	54	46
162	54	46
163	55	45
164	55	45
165	55	44
166	55	44
167	55	43
168	56	43
169	56	43
170	56	42
171	57	42
172	57	42
173	57	41
174	57	41
175	57	40
176	58	40
177	58	40
178	58	39
179	58	39
180	59	39
181	59	38
182	60	38
183	60	38
184	60	37
185	60	37
186	61	36
187	61	36
188	61	36
189	61	35
190	61	35
191	62	34
192	62	34
193	62	34
194	62	33
195	62	33
196	63	33
197	63	32
198	63	32
199	63	31
200	64	31
201	64	31
202	64	30
203	64	30
204	64	30
205	65	29
206	65	29
207	65	28
208	65	28
209	65	28
210	66	27
211	66	27
212	66	27
213	67	26
214	67	26
215	67	26
216	67	25
217	67	25
218	67	25
219	68	24
220	69	24
221	69	24
222	69	24
223	69	23
224	70	23
225	70	23
226	70	22
227	70	22
228	70	21
229	71	21
230	71	21
231	71	21
232	72	20
233	72	20
234	72	20
235	72	19
236	72	19
237	73	19
238	73	18
239	73	18
240	73	18
241	74	17
242	74	17
243	75	17
244	75	16
245	75	16
246	75	16
247	75	15
248	76	15
249	76	15
250	76	14
251	76	14
252	77	14
253	77	13
254	77	13
255	77	13
256	77	13
257	78	12
258	78	12
259	78	12
260	78	11
261	79	11
262	79	11
263	79	10
264	79	10
265	79	10
266	80	9
267	80	9
268	80	9
269	80	8
270	81	8
271	81	8
272	81	8
273	81	7
274	82	7
275	82	7
276	84	6
277	85	6
278	86	6
279	86	6
280	86	5
281	86	5
282	86	5
283	87	4
284	87	4
285	87	4
286	87	3
287	87	3
288	88	3
289	88	3
290	88	2
291	88	2
292	88	2
293	89	1
294	89	1
295	89	1
296	89	0
297	90	0
298	90	0
299	90	0
